$1,073,741,824	42,949,673	3,579,426	117,682
$536,870,912	21,474,836	1,789,713	58,841
$268,435,456	10,737,418	894,856	29,421
$134,217,728	5,368,709	447,428	14,710
$67,108,864	2,684,355	223,714	7,355
$33,554,432	1,342,177	111,857	3,678
$16,777,216	671,089	55,929	1,839
$8,388,608	335,544	27,964	919
$4,194,304	167,772	13,982	460
$2,097,152	83,886	6,991	230
$1,048,576	41,943	3,496	115
$524,288	20,972	1,748	57
$262,144	10,486	874	29
$131,072	5,243	437	14
$65,536	2,621	218	7
$32,768	1,311	109	4
$16,384	655	55	2
$8,192	328	27	1
$4,096	164	14	0
$2,048	82	7	0
$1,024	41	3	0
$512	20	2	0
$256	10	1	0
$128	5	0	0
$64	3	0	0
$32	1	0	0
$16	1	0	0
$8	0	0	0
$4	0	0	0
$2	0	0	0
